TOPc8e46a00	START
TOPa3526b13	attack_kern	0
TOPa3526b13	benchmark	1
TOPa3526b13	stdout_flag	0
TOPa3526b13	bitmap_min	16
TOPa3526b13	bitmap_max	24
TOPa3526b13	debug_mode	0
TOPa3526b13	force	1
TOPa3526b13	kernel_accel	0
TOPa3526b13	kernel_loops	0
TOPa3526b13	nvidia_spin_damp	100
TOPa3526b13	gpu_temp_disable	0
TOPa3526b13	gpu_temp_abort	90
TOPa3526b13	gpu_temp_retain	75
TOPa3526b13	hash_mode	0
TOPa3526b13	hex_charset	0
TOPa3526b13	hex_salt	0
TOPa3526b13	hex_wordlist	0
TOPa3526b13	increment	0
TOPa3526b13	increment_max	54
TOPa3526b13	increment_min	1
TOPa3526b13	keyspace	0
TOPa3526b13	left	0
TOPa3526b13	logfile_disable	0
TOPa3526b13	loopback	0
TOPa3526b13	markov_classic	0
TOPa3526b13	markov_disable	0
TOPa3526b13	markov_threshold	0
TOPa3526b13	outfile_autohex	1
TOPa3526b13	outfile_check_timer	5
TOPa3526b13	outfile_format	3
TOPa3526b13	potfile_disable	0
TOPa3526b13	powertune_enable	0
TOPa3526b13	scrypt_tmto	0
TOPa3526b13	quiet	0
TOPa3526b13	remove	0
TOPa3526b13	remove_timer	60
TOPa3526b13	restore	0
TOPa3526b13	restore_disable	0
TOPa3526b13	restore_timer	60
TOPa3526b13	rp_gen	0
TOPa3526b13	rp_gen_func_max	4
TOPa3526b13	rp_gen_func_min	1
TOPa3526b13	rp_gen_seed	0
TOPa3526b13	runtime	0
TOPa3526b13	segment_size	32
TOPa3526b13	show	0
TOPa3526b13	status	0
TOPa3526b13	machine_readable	0
TOPa3526b13	status_timer	10
TOPa3526b13	usage	0
TOPa3526b13	username	0
TOPa3526b13	version	0
TOPa3526b13	weak_hash_threshold	100
TOPa3526b13	workload_profile	2
TOPa3526b13	limit	0
TOPa3526b13	skip	0
TOPa3526b13	separator	:
TOPa3526b13	opencl_device_types	1
TOPa3526b13	opencl_vector_width	0
TOPa3526b13	rule_buf_l	:
TOPa3526b13	rule_buf_r	:
TOPa3526b13	session	hashcat
TOPa3526b13	veracrypt_pim	0
TOPa3526b13	hashlist_mode	5
TOPa3526b13	hashlist_format	0
TOP9b3ff7a9	START
TOP9b3ff7a9	attack_mode	0
TOP9b3ff7a9	attack_kern	0
TOP9b3ff7a9	benchmark	1
TOP9b3ff7a9	stdout_flag	0
TOP9b3ff7a9	bitmap_min	16
TOP9b3ff7a9	bitmap_max	24
TOP9b3ff7a9	debug_mode	0
TOP9b3ff7a9	force	1
TOP9b3ff7a9	kernel_accel	0
TOP9b3ff7a9	kernel_loops	0
TOP9b3ff7a9	nvidia_spin_damp	100
TOP9b3ff7a9	gpu_temp_disable	0
TOP9b3ff7a9	gpu_temp_abort	90
TOP9b3ff7a9	gpu_temp_retain	75
TOP9b3ff7a9	hash_mode	0
TOP9b3ff7a9	hex_charset	0
TOP9b3ff7a9	hex_salt	0
TOP9b3ff7a9	hex_wordlist	0
TOP9b3ff7a9	increment	0
TOP9b3ff7a9	increment_max	54
TOP9b3ff7a9	increment_min	1
TOP9b3ff7a9	keyspace	0
TOP9b3ff7a9	left	0
TOP9b3ff7a9	logfile_disable	0
TOP9b3ff7a9	loopback	0
TOP9b3ff7a9	markov_classic	0
TOP9b3ff7a9	markov_disable	0
TOP9b3ff7a9	markov_threshold	0
TOP9b3ff7a9	outfile_autohex	1
TOP9b3ff7a9	outfile_check_timer	5
TOP9b3ff7a9	outfile_format	3
TOP9b3ff7a9	potfile_disable	0
TOP9b3ff7a9	powertune_enable	0
TOP9b3ff7a9	scrypt_tmto	0
TOP9b3ff7a9	quiet	0
TOP9b3ff7a9	remove	0
TOP9b3ff7a9	remove_timer	60
TOP9b3ff7a9	restore	0
TOP9b3ff7a9	restore_disable	0
TOP9b3ff7a9	restore_timer	60
TOP9b3ff7a9	rp_gen	0
TOP9b3ff7a9	rp_gen_func_max	4
TOP9b3ff7a9	rp_gen_func_min	1
TOP9b3ff7a9	rp_gen_seed	0
TOP9b3ff7a9	runtime	0
TOP9b3ff7a9	segment_size	32
TOP9b3ff7a9	show	0
TOP9b3ff7a9	status	0
TOP9b3ff7a9	machine_readable	0
TOP9b3ff7a9	status_timer	10
TOP9b3ff7a9	usage	0
TOP9b3ff7a9	username	0
TOP9b3ff7a9	version	0
TOP9b3ff7a9	weak_hash_threshold	100
TOP9b3ff7a9	workload_profile	2
TOP9b3ff7a9	limit	0
TOP9b3ff7a9	skip	0
TOP9b3ff7a9	separator	:
TOP9b3ff7a9	opencl_device_types	2
TOP9b3ff7a9	opencl_vector_width	0
TOP9b3ff7a9	rule_buf_l	:
TOP9b3ff7a9	rule_buf_r	:
TOP9b3ff7a9	session	hashcat
TOP9b3ff7a9	veracrypt_pim	0
TOP9b3ff7a9	hashlist_mode	5
TOP9b3ff7a9	hashlist_format	0
TOP95b1c5dc	START
TOP95b1c5dc	attack_mode	0
TOP95b1c5dc	attack_kern	0
TOP95b1c5dc	benchmark	1
TOP95b1c5dc	stdout_flag	0
TOP95b1c5dc	bitmap_min	16
TOP95b1c5dc	bitmap_max	24
TOP95b1c5dc	debug_mode	0
TOP95b1c5dc	force	1
TOP95b1c5dc	kernel_accel	0
TOP95b1c5dc	kernel_loops	0
TOP95b1c5dc	nvidia_spin_damp	100
TOP95b1c5dc	gpu_temp_disable	0
TOP95b1c5dc	gpu_temp_abort	90
TOP95b1c5dc	gpu_temp_retain	75
TOP95b1c5dc	hash_mode	0
TOP95b1c5dc	hex_charset	0
TOP95b1c5dc	hex_salt	0
TOP95b1c5dc	hex_wordlist	0
TOP95b1c5dc	increment	0
TOP95b1c5dc	increment_max	54
TOP95b1c5dc	increment_min	1
TOP95b1c5dc	keyspace	0
TOP95b1c5dc	left	0
TOP95b1c5dc	logfile_disable	0
TOP95b1c5dc	loopback	0
TOP95b1c5dc	markov_classic	0
TOP95b1c5dc	markov_disable	0
TOP95b1c5dc	markov_threshold	0
TOP95b1c5dc	outfile_autohex	1
TOP95b1c5dc	outfile_check_timer	5
TOP95b1c5dc	outfile_format	3
TOP95b1c5dc	potfile_disable	0
TOP95b1c5dc	powertune_enable	0
TOP95b1c5dc	scrypt_tmto	0
TOP95b1c5dc	quiet	0
TOP95b1c5dc	remove	0
TOP95b1c5dc	remove_timer	60
TOP95b1c5dc	restore	0
TOP95b1c5dc	restore_disable	0
TOP95b1c5dc	restore_timer	60
TOP95b1c5dc	rp_gen	0
TOP95b1c5dc	rp_gen_func_max	4
TOP95b1c5dc	rp_gen_func_min	1
TOP95b1c5dc	rp_gen_seed	0
TOP95b1c5dc	runtime	0
TOP95b1c5dc	segment_size	32
TOP95b1c5dc	show	0
TOP95b1c5dc	status	0
TOP95b1c5dc	machine_readable	0
TOP95b1c5dc	status_timer	10
TOP95b1c5dc	usage	0
TOP95b1c5dc	username	0
TOP95b1c5dc	version	0
TOP95b1c5dc	weak_hash_threshold	100
